year,state,state_abv,total_ballots_counted,vap,noncitizen_pct,ineligible_prison,ineligible_probation,ineligible_parole,ineligible_felons_total,eligible_overseas,vep,vep_turnout_rate,vap_turnout_rate,election_type
2018,Arizona,AZ,2409910,5559776,0.0787,38571,43801,7536,89908,NA,5032314,0.4789,0.43349999999999994,midterm
2018,Arkansas,AR,898793,2310569,0.0364,17518,20930,24698,63146,NA,2163318,0.4155,0.389,midterm
2018,California,CA,12712542,30532421,0.1457,104730,0,0,104730,NA,25979117,0.4893,0.4164,midterm
2018,Colorado,CO,2583580,4451426,0.0583,18914,0,10759,29673,NA,4162235,0.6207,0.5804,midterm
2018,Connecticut,CT,1421953,2836517,0.0759,13314,0,4452,17766,NA,2603459,0.5462,0.5013000000000001,midterm
2018,Delaware,DE,365467,764575,0.0513,5885,8080,350,14315,NA,711038,0.514,0.478,midterm
2018,District of Columbia,DC,231482,575793,0.0765,0,0,0,0,NA,531745,0.4353,0.402,midterm
2018,Florida,FL,8318824,17097477,0.09360000000000002,91765,116869,4345,212979,NA,15284174,0.5443,0.48660000000000003,midterm
2018,Georgia,GA,3949905,8040683,0.0594,50963,237559,20426,308948,NA,7254119,0.5445,0.4912,midterm
2018,Hawaii,HI,398657,1117235,0.08209999999999999,5007,0,0,5007,NA,1020503,0.3906,0.3568,midterm
2018,Idaho,ID,612536,1316753,0.04,8378,19603,5267,33248,NA,1230835,0.49770000000000003,0.46520000000000006,midterm
2018,Illinois,IL,4635541,9863329,0.0794,38464,0,0,38464,NA,9041717,0.5127,0.47,midterm
2018,Indiana,IN,2308258,5137998,0.0365,26330,0,0,26330,NA,4924131,0.46879999999999994,0.4493,midterm
2018,Iowa,IA,1334279,2422272,0.031200000000000002,9219,16608,6652,32479,NA,2314218,0.5766,0.5508,midterm
2018,Kansas,KS,1060000,2208263,0.0467,9882,9379,5438,24699,NA,2080438,0.5095,0.48,midterm
2018,Kentucky,KY,1612353,3457567,0.0253,23280,26771,15881,65932,NA,3304159,0.488,0.46630000000000005,midterm
2018,Louisiana,LA,1519405,3562345,0.0288,32281,19964,29321,81566,NA,3378184,0.4498,0.4265,midterm
2018,Maine,ME,646013,1090959,0.0192,0,0,0,0,NA,1070013,0.6037,0.5922000000000001,midterm
2018,Maryland,MD,2335128,4701240,0.08070000000000001,18181,0,0,18181,NA,4303669,0.5426000000000001,0.49670000000000003,midterm
2018,Massachusetts,MA,2752665,5525134,0.0892,7772,0,0,7772,NA,5024520,0.5478000000000001,0.4982,midterm
2018,Michigan,MI,4341340,7828901,0.0327,38218,0,0,38218,NA,7534678,0.5762,0.5545,midterm
2018,Minnesota,MN,2611365,4314700,0.04019999999999999,9717,57043,7381,74141,NA,4067108,0.6421000000000001,0.6052000000000001,midterm
2018,Mississippi,MS,961025,2275427,0.013999999999999999,19258,15558,9866,44682,NA,2198889,0.4371,0.42230000000000006,midterm
2018,Missouri,MO,2442306,4752240,0.0228,30151,25006,19251,74408,NA,4569481,0.5345,0.5139,midterm
